descricao_divisao,descricao_secao
Serviços Domésticos,Serviços Domésticos
Organismos Internacionais E Outras Instituições Extraterritoriais,Organismos Internacionais E Outras Instituições Extraterritoriais
"Agricultura, Pecuária E Serviços Relacionados","Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura"
Produção Florestal,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura"
Pesca E Aqüicultura,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura"
Extração De Carvão Mineral,Indústrias Extrativas
Extração De Petróleo E Gás Natural,Indústrias Extrativas
Extração De Minerais Metálicos,Indústrias Extrativas
Extração De Minerais Não Metálicos,Indústrias Extrativas
Atividades De Apoio À Extração De Minerais,Indústrias Extrativas
Fabricação De Produtos Alimentícios,Indústrias De Transformação
Fabricação De Bebidas,Indústrias De Transformação
Fabricação De Produtos Do Fumo,Indústrias De Transformação
Fabricação De Produtos Têxteis,Indústrias De Transformação
Confecção De Artigos Do Vestuário E Acessórios,Indústrias De Transformação
"Preparação De Couros E Fabricação De Artefatos De Couro, Artigos Para Viagem E Calçados",Indústrias De Transformação
Fabricação De Produtos De Madeira,Indústrias De Transformação
"Fabricação De Celulose, Papel E Produtos De Papel",Indústrias De Transformação
Impressão E Reprodução De Gravações,Indústrias De Transformação
"Fabricação De Coque, De Produtos Derivados Do Petróleo E De Biocombustíveis",Indústrias De Transformação
Fabricação De Produtos Químicos,Indústrias De Transformação
Fabricação De Produtos Farmoquímicos E Farmacêuticos,Indústrias De Transformação
Fabricação De Produtos De Borracha E De Material Plástico,Indústrias De Transformação
Fabricação De Produtos De Minerais Não Metálicos,Indústrias De Transformação
Metalurgia,Indústrias De Transformação
"Fabricação De Produtos De Metal, Exceto Máquinas
E Equipamentos",Indústrias De Transformação
"Fabricação De Produtos De Metal, Exceto Máquinas E Equipamentos",Indústrias De Transformação
"Fabricação De Equipamentos De Informática, Produtos Eletrônicos E Ópticos",Indústrias De Transformação
"Fabricação De Máquinas, Aparelhos E Materiais Elétricos",Indústrias De Transformação
Fabricação De Máquinas E Equipamentos,Indústrias De Transformação
"Fabricação De Veículos Automotores, Reboques E Carrocerias",Indústrias De Transformação
"Fabricação De Outros Equipamentos De Transporte, Exceto Veículos Automotores",Indústrias De Transformação
Fabricação De Móveis,Indústrias De Transformação
Fabricação De Produtos Diversos,Indústrias De Transformação
"Manutenção, Reparação E Instalação De Máquinas E Equipamentos",Indústrias De Transformação
"Eletricidade, Gás E Outras Utilidades",Eletricidade E Gás
"Captação, Tratamento E Distribuição De Água","Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação"
Esgoto E Atividades Relacionadas,"Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação"
"Coleta, Tratamento E Disposição De Resíduos; Recuperação De Materiais","Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação"
Descontaminação E Outros Serviços De Gestão De Resíduos,"Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação"
Construção De Edifícios,Construção
Obras De Infraestrutura,Construção
Serviços Especializados Para Construção,Construção
Comércio E Reparação De Veículos Automotores E Motocicletas,Comércio; Reparação De Veículos Automotores E Motocicletas
"Comércio Por Atacado, Exceto Veículos Automotores E Motocicletas",Comércio; Reparação De Veículos Automotores E Motocicletas
Comércio Varejista,Comércio; Reparação De Veículos Automotores E Motocicletas
Transporte Terrestre,"Transporte, Armazenagem E Correio"
Transporte Aquaviário,"Transporte, Armazenagem E Correio"
Transporte Aéreo,"Transporte, Armazenagem E Correio"
Armazenamento E Atividades Auxiliares Dos Transportes,"Transporte, Armazenagem E Correio"
Correio E Outras Atividades De Entrega,"Transporte, Armazenagem E Correio"
Alojamento,Alojamento E Alimentação
Alimentação,Alojamento E Alimentação
Edição E Edição Integrada À Impressão,Informação E Comunicação
"Atividades Cinematográficas, Produção De Vídeos E De Programas De Televisão; Gravação De Som E Edição De Música",Informação E Comunicação
Atividades De Rádio E De Televisão,Informação E Comunicação
Telecomunicações,Informação E Comunicação
Atividades Dos Serviços De Tecnologia Da Informação,Informação E Comunicação
Atividades De Prestação De Serviços De Informação,Informação E Comunicação
Atividades De Serviços Financeiros,"Atividades Financeiras, De Seguros E Serviços Relacionados"
"Seguros, Resseguros, Previdência Complementar E Planos De Saúde","Atividades Financeiras, De Seguros E Serviços Relacionados"
"Atividades Auxiliares Dos Serviços Financeiros, Seguros, Previdência Complementar E Planos De Saúde","Atividades Financeiras, De Seguros E Serviços Relacionados"
Atividades Imobiliárias,Atividades Imobiliárias
"Atividades Jurídicas, De Contabilidade E De Auditoria","Atividades Profissionais, Científicas E Técnicas"
Atividades De Sedes De Empresas E De Consultoria Em Gestão Empresarial,"Atividades Profissionais, Científicas E Técnicas"
Serviços De Arquitetura E Engenharia; Testes E Análises Técnicas,"Atividades Profissionais, Científicas E Técnicas"
Pesquisa E Desenvolvimento Científico,"Atividades Profissionais, Científicas E Técnicas"
Publicidade E Pesquisa De Mercado,"Atividades Profissionais, Científicas E Técnicas"
"Outras Atividades Profissionais, Científicas E Técnicas","Atividades Profissionais, Científicas E Técnicas"
Atividades Veterinárias,"Atividades Profissionais, Científicas E Técnicas"
Aluguéis Não Imobiliários E Gestão De Ativos Intangíveis Não Financeiros,Atividades Administrativas E Serviços Complementares
"Seleção, Agenciamento E Locação De Mão De Obra",Atividades Administrativas E Serviços Complementares
"Agências De Viagens, Operadores Turísticos E Serviços De Reservas",Atividades Administrativas E Serviços Complementares
"Atividades De Vigilância, Segurança E Investigação",Atividades Administrativas E Serviços Complementares
Serviços Para Edifícios E Atividades Paisagísticas,Atividades Administrativas E Serviços Complementares
"Serviços De Escritório, De Apoio Administrativo E Outros Serviços Prestados Principalmente Às
Empresas",Atividades Administrativas E Serviços Complementares
"Administração Pública, Defesa E Seguridade Social","Administração Pública, Defesa E Seguridade Social"
Educação,Educação
Atividades De Atenção À Saúde Humana,Saúde Humana E Serviços Sociais
"Atividades De Atenção À Saúde Humana Integradas Com Assistência Social, Prestadas Em Residências Coletivas E Particulares",Saúde Humana E Serviços Sociais
Serviços De Assistência Social Sem Alojamento,Saúde Humana E Serviços Sociais
"Atividades Artísticas, Criativas E De Espetáculos","Artes, Cultura, Esporte E Recreação"
Atividades Ligadas Ao Patrimônio Cultural E Ambiental,"Artes, Cultura, Esporte E Recreação"
"Atividades De Exploração De Jogos De Azar E
Apostas","Artes, Cultura, Esporte E Recreação"
Atividades Esportivas E De Recreação E Lazer,"Artes, Cultura, Esporte E Recreação"
Atividades De Organizações Associativas,Outras Atividades De Serviços
Reparação E Manutenção De Equipamentos De Informática E Comunicação E De Objetos Pessoais E Domésticos,Outras Atividades De Serviços
Outras Atividades De Serviços Pessoais,Outras Atividades De Serviços
